Name,Primary_Type,Secondary_Type,Generation,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Total,Height(m),Weight(kg),Image URL,RGB_Mean,RGB_Std,RGB_Max,RGB_Min,LBP_Mean,LBP_Std,LBP_Max,LBP_Min,CNN_Mean,CNN_Std,CNN_Max,CNN_Min
Mareanie,Poison,Water,7.0,50,53,62,43,52,45,305,0.4,8.0,https://img.pokemondb.net/sprites/home/normal/2x/mareanie.jpg,0.001953125,0.02928167,0.6550598,0.0,0.11111111110623141,0.1097719199767998,0.3394817742494738,0.006587615282978147,1.6122093,3.0281649,28.29407,0.0
Bisharp,Dark,Steel,5.0,65,125,100,60,70,70,490,1.6,70.0,https://img.pokemondb.net/sprites/home/normal/2x/bisharp.jpg,0.001953125,0.036815397,0.8332977,0.0,0.11111111110399773,0.10667994294235046,0.31562099869938404,0.010883482713771864,1.7338818,3.8017917,36.069016,0.0
Dustox,Bug,Poison,3.0,60,50,70,50,90,65,385,1.2,31.6,https://img.pokemondb.net/sprites/home/normal/2x/dustox.jpg,0.001953125,0.032346714,0.7313385,0.0,0.11111111110652164,0.1182183426550089,0.3791821561181668,0.014869888475222227,1.0258865,3.217685,46.548367,0.0
Kabuto,Rock,Water,1.0,30,80,90,55,45,55,355,0.5,11.5,https://img.pokemondb.net/sprites/home/normal/2x/kabuto.jpg,0.001953125,0.02867858,0.63905334,0.0,0.11111111110663266,0.11376972309655496,0.3079403466220097,0.01047964530389038,1.9078546,3.847729,35.5166,0.0
Venusaur,Grass,Poison,1.0,80,82,83,100,100,80,525,2.0,100.0,https://img.pokemondb.net/sprites/home/normal/2x/venusaur.jpg,0.001953125,0.027892202,0.6276703,0.0,0.11111111110728629,0.11499568392607289,0.37624784852405346,0.01170395869150761,0.9546981,2.5195708,27.753647,0.0
Morgrem,Dark,Fairy,8.0,65,60,45,75,55,70,370,0.8,12.5,https://img.pokemondb.net/sprites/home/normal/2x/morgrem.jpg,0.001953125,0.03431522,0.77575684,0.0,0.11111111110725577,0.10631863968714167,0.3174878556447784,0.00936849410099346,1.0254679,2.4926765,33.240074,0.0
Meditite,Fighting,Psychic,3.0,30,40,55,40,55,60,280,0.6,11.2,https://img.pokemondb.net/sprites/home/normal/2x/meditite.jpg,0.001953125,0.034104854,0.76997375,0.0,0.11111111110673494,0.10568399133455668,0.2993304450453198,0.012603387159802939,1.6167638,3.6772022,41.66195,0.0
Vullaby,Dark,Flying,5.0,70,55,75,45,65,60,370,0.5,9.0,https://img.pokemondb.net/sprites/home/normal/2x/vullaby.jpg,0.001953125,0.03444483,0.77923584,0.0,0.1111111111058075,0.10508008149063465,0.30262529831491053,0.012410501192725036,1.6123332,2.952339,31.633274,0.0
Heliolisk,Electric,Normal,6.0,62,55,52,109,94,109,481,1.0,21.0,https://img.pokemondb.net/sprites/home/normal/2x/heliolisk.jpg,0.001953125,0.03778019,0.8553772,0.0,0.11111111110279441,0.10322837243412385,0.31137724548567536,0.011227544909339256,1.7508528,3.7510402,40.66093,0.0
Shroodle,Poison,Normal,9.0,40,65,35,40,35,75,290,0.2,0.7,https://img.pokemondb.net/sprites/scarlet-violet/normal/shroodle.png,0.001953125,0.04183433,0.9474335,0.0,0.11111111104377104,0.11577009109665977,0.3757575755298439,0.0,0.7623853,1.9681723,21.500774,0.0
Toxicroak,Poison,Fighting,4.0,83,106,65,86,65,85,490,1.3,44.4,https://img.pokemondb.net/sprites/home/normal/2x/toxicroak.jpg,0.001953125,0.033515405,0.75746155,0.0,0.11111111110622066,0.11127647137273161,0.3301056337882876,0.009242957746072053,1.4606937,3.6474009,40.129227,0.0
Iron Valiant,Fairy,Fighting,9.0,74,130,90,120,60,116,590,1.4,35.0,https://img.pokemondb.net/sprites/scarlet-violet/normal/iron-valiant.png,0.001953125,0.038439125,0.86997986,0.0,0.1111111110934464,0.12297033108272584,0.35135135129549266,0.0031796502379682593,1.1464779,2.5797436,26.694227,0.0
Prinplup,Water,,4.0,64,66,68,81,76,50,405,0.8,23.0,https://img.pokemondb.net/sprites/home/normal/2x/prinplup.jpg,0.001953125,0.031902187,0.7189636,0.0,0.11111111110649688,0.11087324567805766,0.3264119601193351,0.007059800664158646,1.5684717,3.21337,35.89776,0.0
Alakazam,Psychic,,1.0,55,50,45,135,95,120,500,1.5,48.0,https://img.pokemondb.net/sprites/home/normal/2x/alakazam.jpg,0.001953125,0.031522654,0.7095947,0.0,0.11111111110729419,0.10011907453884777,0.29268292681921393,0.014084507041769685,1.5476878,3.57523,37.513092,0.0
Cryogonal,Ice,,5.0,80,50,50,95,135,105,515,1.1,148.0,https://img.pokemondb.net/sprites/home/normal/2x/cryogonal.jpg,0.001953125,0.026296051,0.5878296,0.0,0.11111111110815995,0.10991951995976987,0.3474103585565097,0.011155378485759485,0.9377216,2.8472703,34.649776,0.0
Cetitan,Ice,,9.0,170,113,65,45,55,73,521,4.5,700.0,https://img.pokemondb.net/sprites/scarlet-violet/normal/cetitan.png,0.001953125,0.03973745,0.8993988,0.0,0.11111111109295571,0.1277787528519419,0.42483660123777184,0.0049019607835127516,1.3354316,2.8170872,23.817398,0.0
Munchlax,Normal,,4.0,135,85,40,40,85,5,390,0.6,105.0,https://img.pokemondb.net/sprites/home/normal/2x/munchlax.jpg,0.001953125,0.03342436,0.75224304,0.0,0.1111111111061947,0.11459226780683819,0.3168141592780171,0.010619469026078784,1.2267786,2.731579,26.52095,0.0
Hawlucha,Fighting,Flying,6.0,78,92,75,74,63,118,500,0.8,21.5,https://img.pokemondb.net/sprites/home/normal/2x/hawlucha.jpg,0.001953125,0.03423282,0.7730713,0.0,0.11111111110685398,0.115157738073816,0.37356321837649187,0.01072796934824797,1.1670475,2.7205806,32.519096,0.0
Mothim,Bug,Flying,4.0,70,94,50,94,50,66,424,0.9,23.3,https://img.pokemondb.net/sprites/home/normal/2x/mothim.jpg,0.001953125,0.036377747,0.82250977,0.0,0.1111111111042819,0.10440390949480347,0.2851874615682122,0.007990165949109394,0.9187352,3.1055272,42.79993,0.0
Misdreavus,Ghost,,2.0,60,60,60,85,85,85,435,0.7,1.0,https://img.pokemondb.net/sprites/home/normal/2x/misdreavus.jpg,0.001953125,0.02695845,0.59588623,0.0,0.11111111110758488,0.140073855404883,0.46810536336185005,0.006981910504380137,1.9961658,4.30917,39.3516,0.0
Spoink,Psychic,,3.0,60,25,35,70,80,60,330,0.7,30.6,https://img.pokemondb.net/sprites/home/normal/2x/spoink.jpg,0.001953125,0.03636996,0.8209839,0.0,0.11111111110176616,0.1165615491954494,0.35492010089529685,0.010933557610518624,1.3142244,2.8272076,31.718508,0.0
Slaking,Normal,,3.0,150,160,100,95,65,100,670,2.0,130.5,https://img.pokemondb.net/sprites/home/normal/2x/slaking.jpg,0.001953125,0.029848147,0.6704254,0.0,0.11111111110730072,0.11052885311154187,0.3295610425127037,0.01577503429301183,1.6458073,2.9376616,27.963514,0.0
Avalugg,Ice,,6.0,95,117,184,44,46,28,514,2.0,505.0,https://img.pokemondb.net/sprites/home/normal/2x/avalugg.jpg,0.001953125,0.023932954,0.5048828,0.0,0.11111111110757368,0.10578338851186453,0.2725246736621291,0.0066857688632064385,1.1246805,2.6754255,31.991604,0.0
Yveltal,Dark,Flying,6.0,126,131,95,131,98,99,680,5.8,203.0,https://img.pokemondb.net/sprites/home/normal/2x/yveltal.jpg,0.001953125,0.030475773,0.68460083,0.0,0.11111111110777344,0.11167548292493626,0.3751877440560172,0.013817963351942988,1.4223845,3.3944933,38.644543,0.0
Hitmonlee,Fighting,,1.0,50,120,53,35,110,87,455,1.5,49.8,https://img.pokemondb.net/sprites/home/normal/2x/hitmonlee.jpg,0.001953125,0.035699107,0.8071289,0.0,0.11111111110442169,0.10668416750440164,0.33714629739090024,0.006622516555892684,2.0528152,4.1668816,42.500847,0.0
Caterpie,Bug,,1.0,45,30,35,20,20,45,195,0.3,2.9,https://img.pokemondb.net/sprites/home/normal/2x/caterpie.jpg,0.001953125,0.031432938,0.707489,0.0,0.11111111110654427,0.11012583023109586,0.3140156185649809,0.008220304150915729,1.6104879,3.8473365,39.942005,0.0
Cufant,Steel,,8.0,72,80,49,40,49,40,330,1.2,100.0,https://img.pokemondb.net/sprites/home/normal/2x/cufant.jpg,0.001953125,0.028462468,0.6351776,0.0,0.11111111110730984,0.11276871093962482,0.3003763256825051,0.008894970919983067,1.5689461,3.68621,40.560867,0.0
Brambleghast,Grass,Ghost,9.0,55,115,70,80,70,90,480,1.2,6.0,https://img.pokemondb.net/sprites/scarlet-violet/normal/brambleghast.png,0.001953125,0.037680473,0.8527527,0.0,0.11111111109715245,0.12772964677239707,0.4221105527107902,0.012562814068773517,0.85916793,2.2579587,25.150587,0.0
Marowak,Ground,,1.0,60,80,110,50,80,45,425,1.0,45.0,https://img.pokemondb.net/sprites/home/normal/2x/marowak.jpg,0.001953125,0.033675242,0.758667,0.0,0.11111111110564303,0.1268613816601226,0.41978346454627047,0.008366141731871744,1.5732659,3.1890237,36.856537,0.0
Indeedee,Psychic,Normal,8.0,60,65,55,105,95,95,475,0.9,28.0,https://img.pokemondb.net/sprites/home/normal/2x/indeedee.jpg,0.001953125,0.034947243,0.7873688,0.0,0.11111111110572523,0.10489340788009005,0.3267086766686036,0.013572467280001336,1.5249174,2.882322,34.712776,0.0
Sinistcha,Grass,Ghost,9.0,71,60,106,121,80,70,508,0.2,2.2,https://img.pokemondb.net/sprites/scarlet-violet/normal/sinistcha.png,0.001953125,0.038742796,0.87727356,0.0,0.11111111108949417,0.1094978953909492,0.30544747075769507,0.005836575874350861,1.0217891,2.4072506,21.50858,0.0
Mawile,Steel,Fairy,3.0,50,85,85,55,55,50,380,0.6,11.5,https://img.pokemondb.net/sprites/home/normal/2x/mawile.jpg,0.001953125,0.031922717,0.71315,0.0,0.11111111110592625,0.11190683116206425,0.36630891272205746,0.011665888940192912,1.3757613,3.1592362,40.024723,0.0
Flareon,Fire,,1.0,65,130,60,95,110,65,525,0.9,25.0,https://img.pokemondb.net/sprites/home/normal/2x/flareon.jpg,0.001953125,0.028566346,0.6387787,0.0,0.11111111110676915,0.10653850219964817,0.2864400156199125,0.011723329425098737,1.8052268,3.411135,36.070976,0.0
Type: Null,Normal,,7.0,95,95,95,95,95,59,534,1.9,120.5,https://img.pokemondb.net/sprites/home/normal/2x/type-null.jpg,0.001953125,0.032048676,0.72340393,0.0,0.11111111110747646,0.10180026136738843,0.30454694143589967,0.014066077853645206,1.7185092,3.120118,26.911098,0.0
Pichu,Electric,,2.0,20,40,15,35,35,60,205,0.3,2.0,https://img.pokemondb.net/sprites/home/normal/2x/pichu.jpg,0.001953125,0.03341135,0.7514496,0.0,0.11111111110631978,0.10719505422357457,0.3393704182691087,0.012074169900298656,1.8573799,4.2563195,45.244976,0.0
Roserade,Grass,Poison,4.0,60,70,65,125,105,90,515,0.9,14.5,https://img.pokemondb.net/sprites/home/normal/2x/roserade.jpg,0.001953125,0.034791768,0.7875061,0.0,0.1111111111061397,0.10738130746998159,0.33064876956015,0.014317673377435452,1.2929513,2.8173246,31.166815,0.0
Honedge,Steel,Ghost,6.0,45,80,100,35,37,28,325,0.8,2.0,https://img.pokemondb.net/sprites/home/normal/2x/honedge.jpg,0.001953125,0.034410734,0.7782135,0.0,0.11111111110696673,0.11612694779093354,0.3591943304603061,0.012308839984621081,1.515152,3.0148878,40.871937,0.0
Leavanny,Bug,Grass,5.0,75,103,80,70,80,92,500,1.2,20.5,https://img.pokemondb.net/sprites/home/normal/2x/leavanny.jpg,0.001953125,0.03874405,0.8773804,0.0,0.11111111110305957,0.10834080564141536,0.31304347823818524,0.008695652173282923,0.6861761,1.8753393,27.225595,0.0
Yanmega,Bug,Flying,4.0,86,76,86,116,56,95,515,1.9,51.5,https://img.pokemondb.net/sprites/home/normal/2x/yanmega.jpg,0.001953125,0.033650655,0.76060486,0.0,0.11111111110683432,0.10298202306097552,0.3206312547990519,0.013471901462145039,1.1068692,2.8180492,38.519375,0.0
Applin,Grass,Dragon,8.0,40,40,80,40,40,20,260,0.2,0.5,https://img.pokemondb.net/sprites/home/normal/2x/applin.jpg,0.001953125,0.030673547,0.69099426,0.0,0.11111111110562413,0.10843102102428237,0.30962962961433926,0.006419753086102728,1.3978417,3.276527,37.715557,0.0
Klinklang,Steel,,5.0,60,100,115,70,85,90,520,0.6,81.0,https://img.pokemondb.net/sprites/home/normal/2x/klinklang.jpg,0.001953125,0.034705374,0.7844391,0.0,0.11111111110587743,0.10707529085403178,0.34338200657826745,0.013659915213675934,1.4863236,3.2558596,37.32418,0.0
Treecko,Grass,,3.0,40,45,35,65,55,70,310,0.5,5.0,https://img.pokemondb.net/sprites/home/normal/2x/treecko.jpg,0.001953125,0.03451582,0.7807617,0.0,0.11111111110592628,0.10982028666621022,0.3331777881319096,0.010265982267369763,1.3404944,3.0077686,35.562397,0.0
Snivy,Grass,,5.0,45,45,55,45,55,63,308,0.6,8.1,https://img.pokemondb.net/sprites/home/normal/2x/snivy.jpg,0.001953125,0.033004344,0.7442932,0.0,0.11111111110686699,0.1061402023012937,0.2910618792860557,0.01107715813555855,1.7259119,3.6414762,42.81515,0.0
Raikou,Electric,,2.0,90,85,75,115,100,115,580,1.9,178.0,https://img.pokemondb.net/sprites/home/normal/2x/raikou.jpg,0.001953125,0.026417812,0.59298706,0.0,0.11111111110754644,0.11034345952186575,0.3134424125661392,0.006416426050483913,1.984917,3.5917387,42.290718,0.0
Electabuzz,Electric,,1.0,65,83,57,95,85,105,490,1.1,30.0,https://img.pokemondb.net/sprites/home/normal/2x/electabuzz.jpg,0.001953125,0.03268175,0.73475647,0.0,0.111111111107171,0.11355567475387118,0.3748226950221694,0.015248226949813893,1.5765997,3.7976522,43.357227,0.0
Enamorus,Fairy,Flying,8.0,74,115,70,135,80,106,580,1.6,48.0,https://img.pokemondb.net/sprites/home/normal/2x/enamorus.jpg,0.001953125,0.035991766,0.81378174,0.0,0.11111111110602129,0.10420386496766315,0.2959230416721978,0.01191021529950022,0.99906313,2.465102,31.527285,0.0
Overqwil,Dark,Poison,8.0,85,115,95,65,65,85,510,2.5,60.5,https://img.pokemondb.net/sprites/home/normal/2x/overqwil.jpg,0.001953125,0.036973238,0.83647156,0.0,0.11111111110452089,0.11216430726144055,0.3422301304660599,0.010083036772830187,1.7647942,4.280211,39.837486,0.0
Raticate,Normal,,1.0,55,81,60,50,70,97,413,0.7,18.5,https://img.pokemondb.net/sprites/home/normal/2x/raticate.jpg,0.001953125,0.027392033,0.6115265,0.0,0.11111111110750829,0.10301263778383132,0.29766536964015355,0.012645914396477111,2.2776856,3.8230045,36.866646,0.0
Miltank,Normal,,2.0,95,80,105,40,70,100,490,1.2,75.5,https://img.pokemondb.net/sprites/home/normal/2x/miltank.jpg,0.001953125,0.028891118,0.6472168,0.0,0.1111111111078003,0.11524978322860852,0.32032181167102736,0.010727056018750684,2.0295389,3.983932,39.17673,0.0
Phanpy,Ground,,2.0,90,60,60,40,40,40,330,0.5,33.5,https://img.pokemondb.net/sprites/home/normal/2x/phanpy.jpg,0.001953125,0.027652757,0.61383057,0.0,0.11111111110609254,0.11748912016455958,0.36675700088677704,0.006775067750371497,1.9124838,3.8617952,38.28202,0.0
Pineco,Bug,,2.0,50,65,90,35,35,15,290,0.6,7.2,https://img.pokemondb.net/sprites/home/normal/2x/pineco.jpg,0.001953125,0.03002286,0.67219543,0.0,0.111111111106276,0.11087870643478083,0.3159268929366438,0.010008703219755931,1.2822711,3.2016702,31.516968,0.0
Snover,Grass,Ice,4.0,60,62,50,62,60,40,334,1.0,50.5,https://img.pokemondb.net/sprites/home/normal/2x/snover.jpg,0.001953125,0.036412604,0.82380676,0.0,0.11111111110543348,0.10812269266611112,0.32038834949819167,0.010730710270274363,1.2083904,2.5052345,33.07383,0.0
Tapu Fini,Water,Fairy,7.0,70,75,115,95,130,85,570,1.3,21.2,https://img.pokemondb.net/sprites/home/normal/2x/tapu-fini.jpg,0.001953125,0.03287399,0.7430725,0.0,0.1111111111070035,0.11382655000127195,0.3778188539601546,0.010351201478360399,1.239469,2.8935137,36.721684,0.0
Togedemaru,Electric,Steel,7.0,65,98,63,40,73,96,435,0.3,3.3,https://img.pokemondb.net/sprites/home/normal/2x/togedemaru.jpg,0.001953125,0.03434097,0.76986694,0.0,0.11111111110642881,0.11039768445024134,0.33333333331928644,0.010535187525894009,1.723364,3.728921,36.851135,0.0
Ribombee,Bug,Fairy,7.0,60,55,60,95,70,124,464,0.2,0.5,https://img.pokemondb.net/sprites/home/normal/2x/ribombee.jpg,0.001953125,0.032872424,0.7410736,0.0,0.11111111110569899,0.10795545590362836,0.3443740866856126,0.01509985387164638,1.8317738,3.8436763,39.441353,0.0
Patrat,Normal,,5.0,45,55,39,35,39,42,255,0.5,11.6,https://img.pokemondb.net/sprites/home/normal/2x/patrat.jpg,0.001953125,0.031180745,0.70147705,0.0,0.11111111110579734,0.11260993969684668,0.3519846963007181,0.008608321376919737,2.0939207,4.3594365,43.11414,0.0
Blastoise,Water,,1.0,79,83,100,85,105,78,530,1.6,85.5,https://img.pokemondb.net/sprites/home/normal/2x/blastoise.jpg,0.001953125,0.026598169,0.5920868,0.0,0.11111111110761815,0.11977050330620564,0.37220999684463346,0.009745363093060505,2.3211946,3.8486133,34.28509,0.0
Whiscash,Water,Ground,3.0,110,78,73,76,71,60,468,0.9,23.6,https://img.pokemondb.net/sprites/home/normal/2x/whiscash.jpg,0.001953125,0.031743933,0.7161255,0.0,0.11111111110735482,0.10996436269390066,0.346179851239142,0.012170385395126087,1.4088789,3.1827402,37.358215,0.0
Houndoom,Dark,Fire,2.0,75,90,50,110,80,95,500,1.4,35.0,https://img.pokemondb.net/sprites/home/normal/2x/houndoom.jpg,0.001953125,0.034280814,0.7740936,0.0,0.11111111110634851,0.10697622841526837,0.29618516929720595,0.005572224603275945,2.1529815,4.0097103,33.14422,0.0
Silvally,Normal,,7.0,95,95,95,95,95,95,570,2.3,100.5,https://img.pokemondb.net/sprites/home/normal/2x/silvally.jpg,0.001953125,0.03749598,0.84861755,0.0,0.11111111110582012,0.10823115711296176,0.34285714284081636,0.012380952380362813,1.4671819,2.7836187,29.330736,0.0
Lombre,Water,Grass,3.0,60,50,50,60,70,50,340,1.2,32.5,https://img.pokemondb.net/sprites/home/normal/2x/lombre.jpg,0.001953125,0.030265272,0.6816406,0.0,0.11111111110690236,0.11437791155372319,0.3420454545324983,0.0060606060603764925,1.1869317,2.6728435,36.365036,0.0
Koffing,Poison,,1.0,40,65,95,60,45,35,340,0.6,1.0,https://img.pokemondb.net/sprites/home/normal/2x/koffing.jpg,0.001953125,0.028585585,0.63272095,0.0,0.11111111110756124,0.10784826344755605,0.2958466453579602,0.008945686900672663,1.1774011,2.4069102,24.361017,0.0
Tornadus,Flying,,5.0,79,115,70,125,80,111,580,1.5,63.0,https://img.pokemondb.net/sprites/home/normal/2x/tornadus.jpg,0.001953125,0.033355325,0.753891,0.0,0.11111111110665062,0.10591913194270323,0.30911280608955793,0.009634684865129077,1.237743,2.7225013,30.324047,0.0
Slither Wing,Bug,Fighting,9.0,85,135,79,85,105,81,570,3.2,92.0,https://img.pokemondb.net/sprites/scarlet-violet/normal/slither-wing.png,0.001953125,0.037048552,0.83821106,0.0,0.11111111109457672,0.1184321889768496,0.377976190419944,0.010416666665116567,1.3890373,3.1252127,28.865583,0.0
Yanma,Bug,Flying,2.0,65,65,45,75,45,95,390,1.2,38.0,https://img.pokemondb.net/sprites/home/normal/2x/yanma.jpg,0.001953125,0.03847193,0.8712921,0.0,0.11111111110372339,0.10539277846316124,0.32114361699992394,0.00797872340372482,0.92482257,2.5732644,31.34215,0.0
Slakoth,Normal,,3.0,60,60,60,35,35,30,280,0.8,24.0,https://img.pokemondb.net/sprites/home/normal/2x/slakoth.jpg,0.001953125,0.03414348,0.7687683,0.0,0.11111111110473273,0.11024142896816151,0.31802525830550943,0.012055109069342415,1.0580081,2.241155,29.528906,0.0
Medicham,Fighting,Psychic,3.0,60,60,75,60,75,80,410,1.3,31.5,https://img.pokemondb.net/sprites/home/normal/2x/medicham.jpg,0.001953125,0.03706496,0.83854675,0.0,0.11111111110446571,0.11517149716986343,0.3421052631374339,0.011961722487322864,1.2609904,3.6062956,38.791645,0.0
Honchkrow,Dark,Flying,4.0,100,125,52,105,52,71,505,0.9,27.3,https://img.pokemondb.net/sprites/home/normal/2x/honchkrow.jpg,0.001953125,0.034777038,0.7830963,0.0,0.11111111110670718,0.11232099780798842,0.35869996035042806,0.012683313515153258,1.3452814,2.8219612,25.033438,0.0
Charmander,Fire,,1.0,39,52,43,60,50,65,309,0.6,8.5,https://img.pokemondb.net/sprites/home/normal/2x/charmander.jpg,0.001953125,0.032011934,0.7198181,0.0,0.1111111111059955,0.10495038522190808,0.29465930017059583,0.012430939225947011,1.9823685,4.302691,39.873028,0.0
Entei,Fire,,2.0,115,115,85,90,75,100,580,2.1,198.0,https://img.pokemondb.net/sprites/home/normal/2x/entei.jpg,0.001953125,0.027052237,0.60772705,0.0,0.11111111110766902,0.1007037224383531,0.27230483270531897,0.011771995043005825,1.5606759,3.0692582,31.599226,0.0
Ariados,Bug,Poison,2.0,70,90,70,60,70,40,400,1.1,33.5,https://img.pokemondb.net/sprites/home/normal/2x/ariados.jpg,0.001953125,0.032089286,0.725235,0.0,0.11111111110719046,0.10652426538979444,0.3136908962486348,0.013408609738411835,2.1846778,4.589409,38.985535,0.0
Floette,Fairy,,6.0,54,45,47,75,98,52,371,0.2,0.9,https://img.pokemondb.net/sprites/home/normal/2x/floette.jpg,0.001953125,0.03689425,0.83470154,0.0,0.11111111110573824,0.1058742151749876,0.3205996131373018,0.011121856865999912,0.7731476,2.3239949,30.455032,0.0
Fletchling,Normal,Flying,6.0,45,50,43,40,38,62,278,0.3,1.7,https://img.pokemondb.net/sprites/home/normal/2x/fletchling.jpg,0.001953125,0.03687675,0.83384705,0.0,0.1111111111048654,0.10289629690181015,0.30073074759411295,0.011804384485002564,1.4873497,3.3706696,30.229042,0.0
Iron Hands,Fighting,Electric,9.0,154,140,108,50,68,50,570,1.8,380.7,https://img.pokemondb.net/sprites/scarlet-violet/normal/iron-hands.png,0.001953125,0.0321591,0.7220459,0.0,0.1111111111013388,0.13103972717987966,0.42392260330484405,0.00791556728162572,2.0625985,3.5694869,29.082533,0.0
Armarouge,Fire,Psychic,9.0,85,60,100,125,80,75,525,1.5,85.0,https://img.pokemondb.net/sprites/scarlet-violet/normal/armarouge.png,0.001953125,0.03906976,0.88446045,0.0,0.11111111108936725,0.15255202714244412,0.5107632092933927,0.003913894324087301,1.1881135,2.9045699,27.2941,0.0
Natu,Psychic,Flying,2.0,40,50,45,70,45,70,320,0.2,2.0,https://img.pokemondb.net/sprites/home/normal/2x/natu.jpg,0.001953125,0.030848457,0.6952667,0.0,0.11111111110694497,0.10982578538233832,0.31683539556367324,0.008623922009425425,1.4242061,3.4304051,47.301693,0.0
Arrokuda,Water,,8.0,41,63,40,40,30,66,280,0.5,1.0,https://img.pokemondb.net/sprites/home/normal/2x/arrokuda.jpg,0.001953125,0.038232643,0.8654785,0.0,0.1111111111032197,0.11607484251970643,0.3828124999728116,0.014204545453536608,1.2687373,2.752628,37.231598,0.0
Flamigo,Flying,Fighting,9.0,82,115,74,75,64,90,500,1.6,37.0,https://img.pokemondb.net/sprites/scarlet-violet/normal/flamigo.png,0.001953125,0.042404473,0.9603882,0.0,0.1111111110617284,0.12052013469851101,0.3777777776098766,0.013333333327407408,1.0586432,2.4117198,23.031403,0.0
Durant,Bug,Steel,5.0,58,109,112,48,48,109,484,0.3,33.0,https://img.pokemondb.net/sprites/home/normal/2x/durant.jpg,0.001953125,0.037404366,0.845871,0.0,0.11111111110551074,0.10071291333820312,0.2913306451466063,0.018145161289408004,0.99504244,2.206522,27.419825,0.0
Mabosstiff,Dark,,9.0,80,120,90,60,70,85,505,1.1,61.0,https://img.pokemondb.net/sprites/scarlet-violet/normal/mabosstiff.png,0.001953125,0.035532095,0.8010559,0.0,0.11111111109563603,0.1405493882571564,0.45821727013116753,0.0013927576599731535,0.8490343,2.0287836,23.025059,0.0
Landorus,Ground,Flying,5.0,89,125,90,115,80,101,600,1.5,68.0,https://img.pokemondb.net/sprites/home/normal/2x/landorus.jpg,0.001953125,0.030488623,0.68562317,0.0,0.11111111110665776,0.11415659906229092,0.3450901803468902,0.0068136272542359275,1.5262578,3.0482922,32.549995,0.0
Turtwig,Grass,,4.0,55,68,64,45,55,31,318,0.4,10.2,https://img.pokemondb.net/sprites/home/normal/2x/turtwig.jpg,0.001953125,0.033349074,0.7536621,0.0,0.11111111110560784,0.11049722708980825,0.29915799899459344,0.005943536403866095,1.5888971,3.706678,39.298096,0.0
Scizor,Bug,Steel,2.0,70,130,100,55,80,65,500,1.8,118.0,https://img.pokemondb.net/sprites/home/normal/2x/scizor.jpg,0.001953125,0.033395216,0.752655,0.0,0.11111111110682938,0.10792274276421607,0.31599229285872865,0.010404624277055699,1.3067603,3.475132,45.79392,0.0
Druddigon,Dragon,,5.0,77,120,90,60,90,48,485,1.6,139.0,https://img.pokemondb.net/sprites/home/normal/2x/druddigon.jpg,0.001953125,0.027424129,0.61209106,0.0,0.11111111110803155,0.1087906067180697,0.3461751662875229,0.011640798225841442,1.1782651,2.895539,28.50485,0.0
Volcanion,Fire,Water,6.0,80,110,120,130,90,70,600,1.7,195.0,https://img.pokemondb.net/sprites/home/normal/2x/volcanion.jpg,0.001953125,0.030261379,0.68130493,0.0,0.11111111110736116,0.10232237567337495,0.32838339519647713,0.018224772189732542,1.8772595,3.8441143,39.795124,0.0
Yungoos,Normal,,7.0,48,70,30,30,30,45,253,0.4,6.0,https://img.pokemondb.net/sprites/home/normal/2x/yungoos.jpg,0.001953125,0.037867136,0.8570862,0.0,0.11111111110305957,0.10656144164963596,0.2978260869349401,0.014492753622138206,1.1823138,2.6825914,31.527525,0.0
Drilbur,Ground,,5.0,60,85,40,30,45,68,328,0.3,8.5,https://img.pokemondb.net/sprites/home/normal/2x/drilbur.jpg,0.001953125,0.03287894,0.7425537,0.0,0.11111111110597185,0.11356642790170549,0.3066604995232812,0.010175763181768004,1.6412438,3.570312,39.949413,0.0
Cascoon,Bug,,3.0,50,35,55,25,25,15,205,0.7,11.5,https://img.pokemondb.net/sprites/home/normal/2x/cascoon.jpg,0.001953125,0.035646364,0.8021393,0.0,0.11111111110485486,0.1182369868148113,0.3451576576382231,0.007882882882439027,1.9694848,3.977599,35.345657,0.0
Quagsire,Water,Ground,2.0,95,85,85,65,65,35,430,1.4,75.0,https://img.pokemondb.net/sprites/home/normal/2x/quagsire.jpg,0.001953125,0.027860316,0.6132202,0.0,0.11111111110556943,0.1197477920282997,0.3605985037226634,0.0059850374061852845,1.571306,3.4270756,38.543453,0.0
Bulbasaur,Grass,Poison,1.0,45,49,49,65,65,45,318,0.7,6.9,https://img.pokemondb.net/sprites/home/normal/2x/bulbasaur.jpg,0.001953125,0.027520835,0.6159363,0.0,0.11111111110657597,0.11041531410626798,0.3199999999869388,0.00734693877521033,1.0532391,2.6174276,36.10831,0.0
Greavard,Ghost,,9.0,50,61,60,30,55,34,290,0.6,35.0,https://img.pokemondb.net/sprites/scarlet-violet/normal/greavard.png,0.001953125,0.040041417,0.9061432,0.0,0.11111111108796295,0.11404545468944134,0.32916666659809024,0.010416666664496527,0.9833243,2.481616,22.815998,0.0
Slurpuff,Fairy,,6.0,82,80,86,85,75,72,480,0.8,5.0,https://img.pokemondb.net/sprites/home/normal/2x/slurpuff.jpg,0.001953125,0.031480137,0.70495605,0.0,0.11111111110639302,0.11940543962830062,0.37664543522816796,0.00891719745185065,1.206125,3.186095,36.651196,0.0
